Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp
892,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,135,0.0.0.0,0,2026-04-12T14:58:27Z
4,System,IPv4,TCP,LISTEN,192.168.40.142,139,0.0.0.0,0,2026-04-12T16:15:20Z
3688,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,5040,0.0.0.0,0,2026-04-12T14:58:47Z
1124,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8000,0.0.0.0,0,2026-04-12T15:09:30Z
1124,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,50140,2026-04-12T15:09:48Z
1124,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,50144,2026-04-12T15:09:48Z
1124,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,50146,2026-04-12T15:09:48Z
1124,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,50148,2026-04-12T15:09:49Z
1124,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8001,0.0.0.0,0,2026-04-12T15:09:30Z
1124,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8001,127.0.0.1,51678,2026-04-12T18:31:24Z
1124,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8003,0.0.0.0,0,2026-04-12T15:09:30Z
1124,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8889,0.0.0.0,0,2026-04-12T15:09:30Z
1124,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8889,127.0.0.1,51854,2026-04-12T18:38:20Z
664,lsass.exe,IPv4,TCP,LISTEN,0.0.0.0,49664,0.0.0.0,0,2026-04-12T14:58:27Z
500,wininit.exe,IPv4,TCP,LISTEN,0.0.0.0,49665,0.0.0.0,0,2026-04-12T14:58:27Z
1384,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49666,0.0.0.0,0,2026-04-12T14:58:29Z
1400,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49667,0.0.0.0,0,2026-04-12T14:58:29Z
2872,spoolsv.exe,IPv4,TCP,LISTEN,0.0.0.0,49668,0.0.0.0,0,2026-04-12T14:58:34Z
644,services.exe,IPv4,TCP,LISTEN,0.0.0.0,49669,0.0.0.0,0,2026-04-12T14:58:39Z
